zip_code,state,county,lat,lon,city
08666,NJ,Burlington,40.2805,-74.712,Trenton
08690,NJ,Burlington,40.2336,-74.6576,Trenton
08691,NJ,Burlington,40.2197,-74.5939,Trenton
08695,NJ,Burlington,40.2805,-74.712,Trenton
08001,NJ,Camden,39.5591,-75.3506,Alloway
08002,NJ,Camden,39.9308,-75.0175,Cherry Hill
08003,NJ,Camden,39.8805,-74.9706,Cherry Hill
08004,NJ,Camden,39.76,-74.8665,Atco
08005,NJ,Camden,39.7552,-74.247,Barnegat
08006,NJ,Camden,39.7512,-74.1146,Barnegat Light
08007,NJ,Camden,39.8651,-75.0564,Barrington
08008,NJ,Camden,39.6411,-74.1922,Beach Haven
08009,NJ,Camden,39.7788,-74.9308,Berlin
08010,NJ,Camden,40.0565,-74.9114,Beverly
08011,NJ,Camden,39.976,-74.7114,Birmingham
08012,NJ,Camden,39.7901,-75.0367,Blackwood
08014,NJ,Camden,39.8016,-75.3478,Bridgeport
08015,NJ,Camden,39.9597,-74.5655,Browns Mills
08016,NJ,Camden,40.068,-74.8454,Burlington
08018,NJ,Camden,39.7154,-74.9007,Cedar Brook
08019,NJ,Camden,39.8019,-74.5256,Chatsworth
08020,NJ,Camden,39.7992,-75.2237,Clarksboro
08021,NJ,Camden,39.8036,-75.0058,Clementon
08022,NJ,Camden,40.0642,-74.6899,Columbus
08023,NJ,Camden,39.6815,-75.4934,Deepwater
08025,NJ,Camden,39.7015,-75.1629,Ewan
08026,NJ,Camden,39.8365,-74.971,Gibbsboro
08027,NJ,Camden,39.8231,-75.2751,Gibbstown
08028,NJ,Camden,39.7068,-75.1172,Glassboro
08029,NJ,Camden,39.8404,-75.0697,Glendora
08030,NJ,Camden,39.8911,-75.117,Gloucester City
08031,NJ,Camden,39.8689,-75.0944,Bellmawr
08032,NJ,Camden,39.7788,-75.0601,Grenloch
08033,NJ,Camden,39.8954,-75.0417,Haddonfield
08034,NJ,Camden,39.9074,-75.0008,Cherry Hill
08035,NJ,Camden,39.8788,-75.0664,Haddon Heights
08036,NJ,Camden,39.9872,-74.8293,Hainesport
08037,NJ,Camden,39.638,-74.7728,Hammonton
08038,NJ,Camden,39.4716,-75.4902,Hancocks Bridge
08039,NJ,Camden,39.6931,-75.2711,Harrisonville
08041,NJ,Camden,40.0387,-74.6873,Jobstown
08042,NJ,Camden,40.0123,-74.6646,Juliustown
08043,NJ,Camden,39.8504,-74.9646,Voorhees
08045,NJ,Camden,39.8676,-75.0317,Lawnside
08046,NJ,Camden,40.029,-74.8835,Willingboro
08048,NJ,Camden,39.9651,-74.8067,Lumberton
08049,NJ,Camden,39.8538,-75.0393,Magnolia
08050,NJ,Camden,39.705,-74.2604,Manahawkin
08051,NJ,Camden,39.787,-75.1785,Mantua
08052,NJ,Camden,39.9511,-74.9946,Maple Shade
08053,NJ,Camden,39.8845,-74.9067,Marlton
08054,NJ,Camden,39.9478,-74.9036,Mount Laurel
08055,NJ,Camden,39.8637,-74.8223,Medford
08056,NJ,Camden,39.7857,-75.2498,Mickleton
08057,NJ,Camden,39.9683,-74.9533,Moorestown
08059,NJ,Camden,39.8827,-75.0929,Mount Ephraim
08060,NJ,Camden,40.0086,-74.7896,Mount Holly
08061,NJ,Camden,39.8097,-75.2082,Mount Royal
08062,NJ,Camden,39.7252,-75.2065,Mullica Hill
08063,NJ,Camden,39.8664,-75.1794,National Park
08064,NJ,Camden,39.9582,-74.6279,New Lisbon
08065,NJ,Camden,40.0037,-75.0257,Palmyra
08066,NJ,Camden,39.8312,-75.2242,Paulsboro
08067,NJ,Camden,39.7435,-75.412,Pedricktown
08068,NJ,Camden,39.9712,-74.6676,Pemberton
08069,NJ,Camden,39.6994,-75.4495,Penns Grove
08070,NJ,Camden,39.6491,-75.5155,Pennsville
08071,NJ,Camden,39.7312,-75.1297,Pitman
08072,NJ,Camden,39.5459,-75.4124,Quinton
08073,NJ,Camden,40.0095,-74.8668,Rancocas
08074,NJ,Camden,39.7206,-75.1681,Richwood
08075,NJ,Camden,40.0293,-74.9497,Riverside
08076,NJ,Camden,40.0115,-75.0149,Riverton
08077,NJ,Camden,40.002,-74.9952,Riverton
08078,NJ,Camden,39.8508,-75.0742,Runnemede
08079,NJ,Camden,39.5591,-75.4521,Salem
08080,NJ,Camden,39.7473,-75.0899,Sewell
08081,NJ,Camden,39.7354,-74.9864,Sicklerville
08083,NJ,Camden,39.84,-75.0309,Somerdale
08084,NJ,Camden,39.8288,-75.0147,Stratford
08085,NJ,Camden,39.7529,-75.3362,Swedesboro
08086,NJ,Camden,39.8457,-75.1943,Thorofare
08087,NJ,Camden,39.5881,-74.3646,Tuckerton
08088,NJ,Camden,39.8604,-74.6693,Vincentown
08089,NJ,Camden,39.7215,-74.8609,Waterford Works
08090,NJ,Camden,39.7993,-75.1536,Wenonah
08091,NJ,Camden,39.8051,-74.9255,West Berlin
08092,NJ,Camden,39.6627,-74.2885,West Creek
08093,NJ,Camden,39.8605,-75.1323,Westville
08094,NJ,Camden,39.665,-74.971,Williamstown
08095,NJ,Camden,39.6549,-74.8685,Winslow
08096,NJ,Camden,39.7539,-74.996,Deptford
08097,NJ,Camden,39.8142,-75.153,Woodbury Heights
08098,NJ,Camden,39.6457,-75.3248,Woodstown
08099,NJ,Camden,39.8676,-75.0946,Bellmawr
08101,NJ,Camden,39.9259,-75.1196,Camden
08102,NJ,Camden,39.9512,-75.1186,Camden
08103,NJ,Camden,39.9351,-75.1117,Camden
08104,NJ,Camden,39.9186,-75.1078,Camden
08105,NJ,Camden,39.9484,-75.0864,Camden
08106,NJ,Camden,39.891,-75.0724,Audubon
08107,NJ,Camden,39.908,-75.0849,Oaklyn
08108,NJ,Camden,39.9157,-75.0634,Collingswood
08109,NJ,Camden,39.9519,-75.0482,Merchantville
08110,NJ,Camden,39.9723,-75.0607,Pennsauken
08302,NJ,Cumberland,39.3762,-75.1617,Bridgeton
08310,NJ,Cumberland,39.537,-74.8895,Buena
08311,NJ,Cumberland,39.337,-75.1994,Cedarville
08312,NJ,Cumberland,39.659,-75.0942,Clayton
08313,NJ,Cumberland,39.5293,-75.2249,Deerfield Street
08314,NJ,Cumberland,39.2023,-74.9705,Delmont
08315,NJ,Cumberland,39.2732,-75.095,Dividing Creek
08316,NJ,Cumberland,39.2679,-74.9791,Dorchester
08317,NJ,Cumberland,39.4031,-74.8316,Dorothy
08318,NJ,Cumberland,39.5691,-75.163,Elmer
08319,NJ,Cumberland,39.3783,-74.8165,Estell Manor
08320,NJ,Cumberland,39.3799,-75.2217,Fairton
08321,NJ,Cumberland,39.2189,-75.1403,Fortescue
08322,NJ,Cumberland,39.6156,-75.0409,Franklinville
08323,NJ,Cumberland,39.4055,-75.3209,Greenwich
08324,NJ,Cumberland,39.224,-74.9942,Heislerville
08326,NJ,Cumberland,39.5239,-74.9377,Landisville
08327,NJ,Cumberland,39.2568,-74.9874,Leesburg
08328,NJ,Cumberland,39.5755,-75.0582,Malaga
08329,NJ,Cumberland,39.2853,-74.9983,Mauricetown
08330,NJ,Cumberland,39.432,-74.6962,Mays Landing
08332,NJ,Cumberland,39.3673,-75.0293,Millville
08340,NJ,Cumberland,39.4451,-74.8667,Milmay
08341,NJ,Cumberland,39.5155,-74.9467,Minotola
08342,NJ,Cumberland,39.5021,-74.8335,Mizpah
08343,NJ,Cumberland,39.6442,-75.1568,Monroeville
08344,NJ,Cumberland,39.5553,-75.0276,Newfield
08345,NJ,Cumberland,39.2832,-75.1716,Newport
08346,NJ,Cumberland,39.5645,-74.859,Newtonville
08347,NJ,Cumberland,39.4998,-75.082,Norma
08348,NJ,Cumberland,39.3131,-74.9807,Port Elizabeth
08349,NJ,Cumberland,39.2563,-75.0506,Port Norris
08350,NJ,Cumberland,39.485,-74.8776,Richland
08352,NJ,Cumberland,39.4782,-75.1313,Rosenhayn
08353,NJ,Cumberland,39.4594,-75.297,Shiloh
08360,NJ,Cumberland,39.4818,-75.0091,Vineland
08361,NJ,Cumberland,39.4655,-74.9653,Vineland
08362,NJ,Cumberland,39.4862,-75.0257,Vineland
08001,NJ,Gloucester,39.5591,-75.3506,Alloway
08002,NJ,Gloucester,39.9308,-75.0175,Cherry Hill
08003,NJ,Gloucester,39.8805,-74.9706,Cherry Hill
08004,NJ,Gloucester,39.76,-74.8665,Atco
08005,NJ,Gloucester,39.7552,-74.247,Barnegat
08006,NJ,Gloucester,39.7512,-74.1146,Barnegat Light
08007,NJ,Gloucester,39.8651,-75.0564,Barrington
